23 July (predicting logR),,,,,,,,,,24 July (predicting logR/S),,,,,,,,,,Get same answers to 3 decimal points!,
,Estimate,Std..Error,Param,Stocknumber,Name,ar,Round Estimate,Round SD,,,Estimate,Std..Error,Param,Stocknumber,Name,ar,Round Estimate,Round SD,,Check Estimate,Check SE
79,3.556949806,0.754321342,SREP,9,Siuslaw,FALSE,3.557,0.754,,79,3.55695998,0.754328707,SREP,9,Siuslaw,FALSE,3.557,0.754,,,
80,1.923737992,0.209154311,SREP,12,Niehalem,FALSE,1.924,0.209,,80,1.923737989,0.209154716,SREP,12,Niehalem,FALSE,1.924,0.209,,,
81,1.66723095,0.12581763,SREP,13,Lewis,FALSE,1.667,0.126,,81,1.667230844,0.125817605,SREP,13,Lewis,FALSE,1.667,0.126,,,
82,2.497479235,0.134958916,SREP,14,Klukshu,FALSE,2.497,0.135,,82,2.497482816,0.134960453,SREP,14,Klukshu,FALSE,2.497,0.135,,,
83,1.972774302,0.246720894,SREP,15,Kitsumkalem,FALSE,1.973,0.247,,83,1.972771393,0.246719757,SREP,15,Kitsumkalem,FALSE,1.973,0.247,,,
84,1.176216435,0.098160079,SREP,17,Salcha,FALSE,1.176,0.098,,84,1.176216171,0.098160011,SREP,17,Salcha,FALSE,1.176,0.098,,,
85,1.014269323,0.131273937,SREP,18,Chena,FALSE,1.014,0.131,,85,1.014267378,0.131272882,SREP,18,Chena,FALSE,1.014,0.131,,,
86,2.600006584,0.651854976,SREP,19,Chehalis,FALSE,2.6,0.652,,86,2.600006725,0.651854742,SREP,19,Chehalis,FALSE,2.6,0.652,,,
87,10.4669278,2.672725436,SREP,20,Humptulips,FALSE,10.467,2.673,,87,10.46691133,2.67270016,SREP,20,Humptulips,FALSE,10.467,2.673,,,
88,0.936207849,0.147960656,SREP,21,Queets,FALSE,0.936,0.148,,88,0.936208317,0.147960744,SREP,21,Queets,FALSE,0.936,0.148,,,
89,14.02744701,29.95143554,SREP,22,Skagit,FALSE,14.027,29.951,,89,14.02744701,29.95146311,SREP,22,Skagit,FALSE,14.027,29.951,,,
90,1.254621267,0.181298855,SREP,24,Quillayute,FALSE,1.255,0.181,,90,1.254619739,0.181298351,SREP,24,Quillayute,FALSE,1.255,0.181,,,
91,1.51561598,0.399804672,logA,4,Chikamin,TRUE,1.516,0.4,,91,1.515609581,0.399806394,logA,4,Chikamin,TRUE,1.516,0.4,,,
92,1.32112374,0.211806412,logA,5,Keta,TRUE,1.321,0.212,,92,1.321122846,0.211806357,logA,5,Keta,TRUE,1.321,0.212,,,
93,1.440812403,0.235881733,logA,6,Blossom,TRUE,1.441,0.236,,93,1.440812366,0.235881767,logA,6,Blossom,TRUE,1.441,0.236,,,
94,2.20722289,0.481015696,logA,10,Situk,TRUE,2.207,0.481,,94,2.207222553,0.481017261,logA,10,Situk,TRUE,2.207,0.481,,,
95,2.317357619,0.19307102,logA,11,Siletz,TRUE,2.317,0.193,,95,2.317356783,0.193070956,logA,11,Siletz,TRUE,2.317,0.193,,,
96,2.045899399,0.174448411,logA,16,Columbia Sp,TRUE,2.046,0.174,,96,2.045900625,0.174447852,logA,16,Columbia Sp,TRUE,2.046,0.174,,,
97,-1.470357413,0.600714614,logB,4,Chikamin,TRUE,-1.47,0.601,,97,-1.470365441,0.600722293,logB,4,Chikamin,TRUE,-1.47,0.601,,,
98,-0.562387245,0.225544257,logB,5,Keta,TRUE,-0.562,0.226,,98,-0.562387774,0.225544416,logB,5,Keta,TRUE,-0.562,0.226,,,
99,-0.292189408,0.195104272,logB,6,Blossom,TRUE,-0.292,0.195,,99,-0.29218955,0.195104366,logB,6,Blossom,TRUE,-0.292,0.195,,,
100,0.058503339,0.368597459,logB,10,Situk,TRUE,0.059,0.369,,100,0.058501925,0.368599473,logB,10,Situk,TRUE,0.059,0.369,,,
101,-1.270387014,0.15693608,logB,11,Siletz,TRUE,-1.27,0.157,,101,-1.270387201,0.156935949,logB,11,Siletz,TRUE,-1.27,0.157,,,
102,0.472649562,0.139973471,logB,16,Columbia Sp,TRUE,0.473,0.14,,102,0.472651453,0.139972753,logB,16,Columbia Sp,TRUE,0.473,0.14,,,
103,0.476265894,0.358418951,rho,4,Chikamin,TRUE,0.476,0.358,,103,0.476271713,0.358425329,rho,4,Chikamin,TRUE,0.476,0.358,,,
104,0.554031244,0.175791228,rho,5,Keta,TRUE,0.554,0.176,,104,0.554028641,0.175791245,rho,5,Keta,TRUE,0.554,0.176,,,
105,0.674656292,0.121754123,rho,6,Blossom,TRUE,0.675,0.122,,105,0.674655927,0.121754299,rho,6,Blossom,TRUE,0.675,0.122,,,
106,0.460492517,0.193016091,rho,10,Situk,TRUE,0.46,0.193,,106,0.460493716,0.193016136,rho,10,Situk,TRUE,0.46,0.193,,,
107,0.545421192,0.189821192,rho,11,Siletz,TRUE,0.545,0.19,,107,0.545424792,0.189819751,rho,11,Siletz,TRUE,0.545,0.19,,,
108,0.395685315,0.1759907,rho,16,Columbia Sp,TRUE,0.396,0.176,,108,0.395683325,0.175991165,rho,16,Columbia Sp,TRUE,0.396,0.176,,,
109,-0.608641813,0.150755607,logSigma,4,Chikamin,TRUE,-0.609,0.151,,109,-0.608643448,0.15075536,logSigma,4,Chikamin,TRUE,-0.609,0.151,,,
110,-0.942161557,0.150755533,logSigma,5,Keta,TRUE,-0.942,0.151,,110,-0.942161807,0.150755495,logSigma,5,Keta,TRUE,-0.942,0.151,,,
111,-0.633615783,0.150755541,logSigma,6,Blossom,TRUE,-0.634,0.151,,111,-0.633615628,0.150755564,logSigma,6,Blossom,TRUE,-0.634,0.151,,,
112,-0.510253371,0.166666678,logSigma,10,Situk,TRUE,-0.51,0.167,,112,-0.510251976,0.166666911,logSigma,10,Situk,TRUE,-0.51,0.167,,,
113,-0.998053326,0.141421178,logSigma,11,Siletz,TRUE,-0.998,0.141,,113,-0.998052841,0.141421247,logSigma,11,Siletz,TRUE,-0.998,0.141,,,
114,-1.080511373,0.127000207,logSigma,16,Columbia Sp,TRUE,-1.081,0.127,,114,-1.080511241,0.127000224,logSigma,16,Columbia Sp,TRUE,-1.081,0.127,,,
115,2.609635018,1.135752776,SMSY,4,Chikamin,TRUE,2.61,1.136,,115,2.609648011,1.135773514,SMSY,4,Chikamin,TRUE,2.61,1.136,,,
116,0.95016047,0.139441612,SMSY,5,Keta,TRUE,0.95,0.139,,116,0.95016048,0.139441586,SMSY,5,Keta,TRUE,0.95,0.139,,,
117,0.774172977,0.118563163,SMSY,6,Blossom,TRUE,0.774,0.119,,117,0.774173073,0.118563211,SMSY,6,Blossom,TRUE,0.774,0.119,,,
118,0.720459574,0.190391896,SMSY,10,Situk,TRUE,0.72,0.19,,118,0.720460532,0.190393296,SMSY,10,Situk,TRUE,0.72,0.19,,,
119,2.793346189,0.346187597,SMSY,11,Siletz,TRUE,2.793,0.346,,119,2.793346182,0.346187397,SMSY,11,Siletz,TRUE,2.793,0.346,,,
120,0.455912775,0.045034968,SMSY,16,Columbia Sp,TRUE,0.456,0.045,,120,0.455912074,0.045034672,SMSY,16,Columbia Sp,TRUE,0.456,0.045,,,
121,6.594126686,2.491809462,SREP,4,Chikamin,TRUE,6.594,2.492,,121,6.594151783,2.491855049,SREP,4,Chikamin,TRUE,6.594,2.492,,,
